"mean" "activity" "subject"
0.274418697402229 "WALKING" "1"
0.275838723500254 "WALKING" "2"
0.275864528631421 "WALKING" "3"
0.275923812402729 "WALKING" "4"
0.276730016225102 "WALKING" "5"
0.275480373587437 "WALKING" "6"
0.27540218115408 "WALKING" "7"
0.275575679394373 "WALKING" "8"
0.275393431004597 "WALKING" "9"
0.276353094541009 "WALKING" "10"
0.27651115009146 "WALKING" "11"
0.275878743865462 "WALKING" "12"
0.276277466062751 "WALKING" "13"
0.275466317976334 "WALKING" "14"
0.276711192213427 "WALKING" "15"
0.276623318947963 "WALKING" "16"
0.276038501640217 "WALKING" "17"
0.276402155768473 "WALKING" "18"
0.275225681629557 "WALKING" "19"
0.275048277262222 "WALKING" "20"
0.276487439043792 "WALKING" "21"
0.276026417964347 "WALKING" "22"
0.275907660392924 "WALKING" "23"
0.276398756310513 "WALKING" "24"
0.276035457199222 "WALKING" "25"
0.275623278261849 "WALKING" "26"
0.276493461959824 "WALKING" "27"
0.276430834702439 "WALKING" "28"
0.276925219706408 "WALKING" "29"
0.276328821325735 "WALKING" "30"
0.263134004730359 "WALKING_UPSTAIRS" "1"
0.264515678437931 "WALKING_UPSTAIRS" "2"
0.264421555140964 "WALKING_UPSTAIRS" "3"
0.264131231021227 "WALKING_UPSTAIRS" "4"
0.264967808631128 "WALKING_UPSTAIRS" "5"
0.263930495765347 "WALKING_UPSTAIRS" "6"
0.264033364049084 "WALKING_UPSTAIRS" "7"
0.26370636174574 "WALKING_UPSTAIRS" "8"
0.263586056017611 "WALKING_UPSTAIRS" "9"
0.264557042449135 "WALKING_UPSTAIRS" "10"
0.264750831009081 "WALKING_UPSTAIRS" "11"
0.263986353720971 "WALKING_UPSTAIRS" "12"
0.264867661697357 "WALKING_UPSTAIRS" "13"
0.263696539295312 "WALKING_UPSTAIRS" "14"
0.264949524002412 "WALKING_UPSTAIRS" "15"
0.265537628157827 "WALKING_UPSTAIRS" "16"
0.264860935406867 "WALKING_UPSTAIRS" "17"
0.264957654309405 "WALKING_UPSTAIRS" "18"
